date;Hours;Up;Down
08-01-2019;10 - 11;0;0
08-01-2019;11 - 12;0;0
08-01-2019;12 - 13;24,8;0
08-01-2019;13 - 14;0;230,6
08-01-2019;14 - 15;0;486,6
08-01-2019;15 - 16;0;522,3
08-01-2019;16 - 17;0;286,8
08-01-2019;17 - 18;0;289,6
08-01-2019;18 - 19;0;237,9
08-01-2019;19 - 20;0;462,7
08-01-2019;20 - 21;0;400,3
08-01-2019;21 - 22;0;372,1
08-01-2019;22 - 23;0;627,9
08-01-2019;23 - 00;0;679,7
09-01-2019;00 - 01;0;628,3
09-01-2019;01 - 02;0;554,7
09-01-2019;02 - 03;0;341,7
09-01-2019;03 - 04;0;181,5
09-01-2019;04 - 05;0;0
09-01-2019;05 - 06;0;298,1
09-01-2019;06 - 07;0;0
09-01-2019;07 - 08;0;0
09-01-2019;08 - 09;0;78,5
09-01-2019;09 - 10;0;131,8
09-01-2019;10 - 11;0;153,3
09-01-2019;11 - 12;0;0
09-01-2019;12 - 13;0;0
09-01-2019;13 - 14;0;0
09-01-2019;14 - 15;0;0
09-01-2019;15 - 16;0;0
09-01-2019;16 - 17;0;150,3
09-01-2019;17 - 18;0;192,1
09-01-2019;18 - 19;0;182,8
09-01-2019;19 - 20;0;656,8
09-01-2019;20 - 21;0;438,4
09-01-2019;21 - 22;0;342,2
09-01-2019;22 - 23;159,6;0
09-01-2019;23 - 00;181,6;0
10-01-2019;00 - 01;0;0
10-01-2019;01 - 02;0;0
10-01-2019;02 - 03;0;0
10-01-2019;03 - 04;0;0
10-01-2019;04 - 05;0;0
10-01-2019;05 - 06;0;0
10-01-2019;06 - 07;0;0
10-01-2019;07 - 08;0;0
10-01-2019;08 - 09;0;411
10-01-2019;09 - 10;0;493,5
10-01-2019;10 - 11;0;534,3
10-01-2019;11 - 12;0;553,8
10-01-2019;12 - 13;0;482,3
10-01-2019;13 - 14;0;304,6
10-01-2019;14 - 15;0;328,1
10-01-2019;15 - 16;0;374,7
10-01-2019;16 - 17;0;473,5
10-01-2019;17 - 18;0;485,9
10-01-2019;18 - 19;0;465,1
10-01-2019;19 - 20;0;554,1
10-01-2019;20 - 21;0;565,5
10-01-2019;21 - 22;0;583,5
10-01-2019;22 - 23;0;579,4
10-01-2019;23 - 00;0;583,8
11-01-2019;00 - 01;0;505,9
11-01-2019;01 - 02;0;0
11-01-2019;02 - 03;0;193,1
11-01-2019;03 - 04;0;185
11-01-2019;04 - 05;0;140,5
11-01-2019;05 - 06;0;0
11-01-2019;06 - 07;0;535,8
11-01-2019;07 - 08;0;498,9
11-01-2019;08 - 09;0;711
11-01-2019;09 - 10;0;558,6
11-01-2019;10 - 11;0;184,5
11-01-2019;11 - 12;0;53,7
11-01-2019;12 - 13;0;472,7
11-01-2019;13 - 14;0;0
11-01-2019;14 - 15;0;0
11-01-2019;15 - 16;0;0
11-01-2019;16 - 17;172,7;0
11-01-2019;17 - 18;0;0
11-01-2019;18 - 19;126,1;0
11-01-2019;19 - 20;136,6;0
11-01-2019;20 - 21;188,8;0
11-01-2019;21 - 22;128,4;0
11-01-2019;22 - 23;144,7;0
11-01-2019;23 - 00;183,8;0
12-01-2019;00 - 01;0;125,3
12-01-2019;01 - 02;0;0
12-01-2019;02 - 03;0;0
12-01-2019;03 - 04;0;0
12-01-2019;04 - 05;70,9;0
12-01-2019;05 - 06;135,8;0
12-01-2019;06 - 07;39;0
12-01-2019;07 - 08;118,5;0
12-01-2019;08 - 09;145,9;0
12-01-2019;09 - 10;48,3;0
12-01-2019;10 - 11;27,7;0
12-01-2019;11 - 12;23,8;0
12-01-2019;12 - 13;0;97
12-01-2019;13 - 14;0;262,8
12-01-2019;14 - 15;0;401,6
12-01-2019;15 - 16;0;370,6
12-01-2019;16 - 17;0;254,8
12-01-2019;17 - 18;0;477,8
12-01-2019;18 - 19;0;126,7
12-01-2019;19 - 20;0;134,2
12-01-2019;20 - 21;0;216,7
12-01-2019;21 - 22;0;189,3
12-01-2019;22 - 23;0;493,8
12-01-2019;23 - 00;0;469,3
13-01-2019;00 - 01;0;187,3
13-01-2019;01 - 02;0;0
13-01-2019;02 - 03;0;60,3
13-01-2019;03 - 04;0;165,8
13-01-2019;04 - 05;0;334,3
13-01-2019;05 - 06;0;386,2
13-01-2019;06 - 07;0;52,3
13-01-2019;07 - 08;0;0
13-01-2019;08 - 09;0;0
13-01-2019;09 - 10;0;62,5
13-01-2019;10 - 11;0;176,3
13-01-2019;11 - 12;0;187,8
13-01-2019;12 - 13;0;329,8
13-01-2019;13 - 14;0;404,8
13-01-2019;14 - 15;0;315,5
13-01-2019;15 - 16;0;382,8
13-01-2019;16 - 17;0;330,3
13-01-2019;17 - 18;0;418,7
13-01-2019;18 - 19;0;405,7
13-01-2019;19 - 20;0;480
13-01-2019;20 - 21;0;370,3
13-01-2019;21 - 22;0;417,3
13-01-2019;22 - 23;0;519
13-01-2019;23 - 00;0;663,6
14-01-2019;00 - 01;0;194,8
14-01-2019;01 - 02;0;181,2
14-01-2019;02 - 03;0;0
14-01-2019;03 - 04;0;0
14-01-2019;04 - 05;0;223,8
14-01-2019;05 - 06;0;320,4
14-01-2019;06 - 07;0;0
14-01-2019;07 - 08;0;436,1
14-01-2019;08 - 09;0;0
14-01-2019;09 - 10;0;0
14-01-2019;10 - 11;0;0
14-01-2019;11 - 12;0;0
14-01-2019;12 - 13;0;0
14-01-2019;13 - 14;0;0
14-01-2019;14 - 15;0;0
14-01-2019;15 - 16;0;274,5
14-01-2019;16 - 17;0;450,3
14-01-2019;17 - 18;0;319,1
14-01-2019;18 - 19;0;22,9
14-01-2019;19 - 20;0;0
14-01-2019;20 - 21;0;0
14-01-2019;21 - 22;0;0
14-01-2019;22 - 23;0;0
14-01-2019;23 - 00;0;0
15-01-2019;00 - 01;150,8;0
15-01-2019;01 - 02;229,8;0
15-01-2019;02 - 03;248,4;0
15-01-2019;03 - 04;232;0
15-01-2019;04 - 05;240,5;0
15-01-2019;05 - 06;218,7;0
15-01-2019;06 - 07;0;0
15-01-2019;07 - 08;0;336,1
15-01-2019;08 - 09;0;429,5
15-01-2019;09 - 10;0;1460,7
15-01-2019;10 - 11;0;1263,6
15-01-2019;11 - 12;0;1276,8
15-01-2019;12 - 13;0;1029,7
15-01-2019;13 - 14;0;1047,8
15-01-2019;14 - 15;0;690,8
15-01-2019;15 - 16;0;646,6
15-01-2019;16 - 17;0;0
15-01-2019;17 - 18;0;0
15-01-2019;18 - 19;0;0
15-01-2019;19 - 20;0;0
15-01-2019;20 - 21;0;0
15-01-2019;21 - 22;0;0
15-01-2019;22 - 23;0;0
15-01-2019;23 - 00;0;0
16-01-2019;00 - 01;189,4;0
16-01-2019;01 - 02;216,8;0
16-01-2019;02 - 03;0;0
16-01-2019;03 - 04;0;0
16-01-2019;04 - 05;0;0
16-01-2019;05 - 06;0;0
16-01-2019;06 - 07;0;0
16-01-2019;07 - 08;0;0
16-01-2019;08 - 09;0;253,2
16-01-2019;09 - 10;0;0
16-01-2019;10 - 11;0;0
16-01-2019;11 - 12;0;159,4
16-01-2019;12 - 13;0;188,1
16-01-2019;13 - 14;0;0
16-01-2019;14 - 15;0;335,9
16-01-2019;15 - 16;0;1023,8
16-01-2019;16 - 17;0;1113,5
16-01-2019;17 - 18;0;369,7
16-01-2019;18 - 19;0;182,9
16-01-2019;19 - 20;0;0
16-01-2019;20 - 21;0;0
16-01-2019;21 - 22;0;0
16-01-2019;22 - 23;0;0
16-01-2019;23 - 00;0;0
17-01-2019;00 - 01;0;0
17-01-2019;01 - 02;0;0
17-01-2019;02 - 03;0;0
17-01-2019;03 - 04;0;0
17-01-2019;04 - 05;0;0
17-01-2019;05 - 06;178,8;0
17-01-2019;06 - 07;168,4;0
17-01-2019;07 - 08;0;0
17-01-2019;08 - 09;75,3;0
17-01-2019;09 - 10;79,7;0
17-01-2019;10 - 11;57,7;0
17-01-2019;11 - 12;83,7;0
17-01-2019;12 - 13;0;0
17-01-2019;13 - 14;0;0
17-01-2019;14 - 15;0;0
17-01-2019;15 - 16;0;313,5
17-01-2019;16 - 17;0;0
17-01-2019;17 - 18;0;0
17-01-2019;18 - 19;0;0
17-01-2019;19 - 20;0;0
17-01-2019;20 - 21;112,2;0
17-01-2019;21 - 22;155;0
17-01-2019;22 - 23;175,4;0
17-01-2019;23 - 00;198,9;0
18-01-2019;00 - 01;149,3;0
18-01-2019;01 - 02;198,1;0
18-01-2019;02 - 03;257,7;0
18-01-2019;03 - 04;231,3;0
18-01-2019;04 - 05;190,1;0
18-01-2019;05 - 06;146,8;0
18-01-2019;06 - 07;0;0
18-01-2019;07 - 08;0;418,7
18-01-2019;08 - 09;0;98,7
18-01-2019;09 - 10;0;522,6
18-01-2019;10 - 11;0;389,1
18-01-2019;11 - 12;0;546,7
18-01-2019;12 - 13;0;577,4
18-01-2019;13 - 14;0;579,2
18-01-2019;14 - 15;0;565,6
18-01-2019;15 - 16;0;550,6
18-01-2019;16 - 17;0;465,2
18-01-2019;17 - 18;0;74
18-01-2019;18 - 19;0;71
18-01-2019;19 - 20;0;0
18-01-2019;20 - 21;0;74
18-01-2019;21 - 22;0;140,9
18-01-2019;22 - 23;0;477,8
18-01-2019;23 - 00;0;0
19-01-2019;00 - 01;0;0
19-01-2019;01 - 02;0;0
19-01-2019;02 - 03;0;0
19-01-2019;03 - 04;0;0
19-01-2019;04 - 05;0;0
19-01-2019;05 - 06;0;0
19-01-2019;06 - 07;0;0
19-01-2019;07 - 08;0;0
19-01-2019;08 - 09;0;0
19-01-2019;09 - 10;0;0
19-01-2019;10 - 11;0;0
19-01-2019;11 - 12;0;0
19-01-2019;12 - 13;0;0
19-01-2019;13 - 14;0;0
19-01-2019;14 - 15;0;0
19-01-2019;15 - 16;0;0
19-01-2019;16 - 17;0;0
19-01-2019;17 - 18;0;0
19-01-2019;18 - 19;0;0
19-01-2019;19 - 20;0;0
19-01-2019;20 - 21;0;0
19-01-2019;21 - 22;0;0
19-01-2019;22 - 23;0;0
19-01-2019;23 - 00;0;0
20-01-2019;00 - 01;0;0
20-01-2019;01 - 02;0;0
20-01-2019;02 - 03;0;0
20-01-2019;03 - 04;0;0
20-01-2019;04 - 05;0;0
20-01-2019;05 - 06;0;0
20-01-2019;06 - 07;0;0
20-01-2019;07 - 08;0;0
20-01-2019;08 - 09;0;0,7
20-01-2019;09 - 10;0;0
20-01-2019;10 - 11;0;0
20-01-2019;11 - 12;0;0
20-01-2019;12 - 13;0;0
20-01-2019;13 - 14;0;0
20-01-2019;14 - 15;0;0
20-01-2019;15 - 16;0;0
20-01-2019;16 - 17;0;0
20-01-2019;17 - 18;0;0
20-01-2019;18 - 19;0;0
20-01-2019;19 - 20;0,9;0
20-01-2019;20 - 21;0;0
20-01-2019;21 - 22;0;0
20-01-2019;22 - 23;0;0
20-01-2019;23 - 00;0;0
21-01-2019;00 - 01;0;0
21-01-2019;01 - 02;0;0
21-01-2019;02 - 03;0;0
21-01-2019;03 - 04;0;0
21-01-2019;04 - 05;0;0
21-01-2019;05 - 06;0;0
21-01-2019;06 - 07;0;0
21-01-2019;07 - 08;0;465,3
21-01-2019;08 - 09;0;555,4
21-01-2019;09 - 10;0;492,7
21-01-2019;10 - 11;0;460,2
21-01-2019;11 - 12;0;204,7
21-01-2019;12 - 13;0;355
21-01-2019;13 - 14;0;484,8
21-01-2019;14 - 15;0;259,9
21-01-2019;15 - 16;0;314,3
21-01-2019;16 - 17;0;508
21-01-2019;17 - 18;0;0
21-01-2019;18 - 19;0;503,2
21-01-2019;19 - 20;0;503,1
21-01-2019;20 - 21;0;402,6
21-01-2019;21 - 22;0;471,7
21-01-2019;22 - 23;0;409,1
21-01-2019;23 - 00;0;281
22-01-2019;00 - 01;0;0
22-01-2019;01 - 02;0;0
22-01-2019;02 - 03;0;0
22-01-2019;03 - 04;0;0
22-01-2019;04 - 05;0;0
22-01-2019;05 - 06;0;0
22-01-2019;06 - 07;0;0
22-01-2019;07 - 08;0;56,4
22-01-2019;08 - 09;0;203,2
22-01-2019;09 - 10;0;98,6
22-01-2019;10 - 11;0;0
22-01-2019;11 - 12;0;0
22-01-2019;12 - 13;0;0
22-01-2019;13 - 14;0;0
22-01-2019;14 - 15;0;0
22-01-2019;15 - 16;0;356,8
22-01-2019;16 - 17;0;381,9
22-01-2019;17 - 18;0;385,9
22-01-2019;18 - 19;0;600,3
22-01-2019;19 - 20;0;534,7
22-01-2019;20 - 21;0;1167,7
22-01-2019;21 - 22;0;978
22-01-2019;22 - 23;0;559
22-01-2019;23 - 00;0;405,6
23-01-2019;00 - 01;0;567
23-01-2019;01 - 02;0;574,3
23-01-2019;02 - 03;0;448,7
23-01-2019;03 - 04;0;0
23-01-2019;04 - 05;0;0
23-01-2019;05 - 06;0;0
23-01-2019;06 - 07;0;310,9
23-01-2019;07 - 08;0;326,9
23-01-2019;08 - 09;0;506,8
23-01-2019;09 - 10;0;466,3
23-01-2019;10 - 11;0;471,8
23-01-2019;11 - 12;0;374,9
23-01-2019;12 - 13;0;383,9
23-01-2019;13 - 14;0;554,8
23-01-2019;14 - 15;0;553,6
23-01-2019;15 - 16;0;487,3
23-01-2019;16 - 17;0;276,9
23-01-2019;17 - 18;0;0
23-01-2019;18 - 19;0;26,4
23-01-2019;19 - 20;0;364,8
23-01-2019;20 - 21;0;293,3
23-01-2019;21 - 22;0;118,1
23-01-2019;22 - 23;0;133,6
23-01-2019;23 - 00;0;0
24-01-2019;00 - 01;0;248,9
24-01-2019;01 - 02;0;323,3
24-01-2019;02 - 03;0;386
24-01-2019;03 - 04;0;374,8
24-01-2019;04 - 05;0;390,2
24-01-2019;05 - 06;0;330,9
24-01-2019;06 - 07;0;369,6
24-01-2019;07 - 08;0;0
24-01-2019;08 - 09;0,3;0
24-01-2019;09 - 10;0;0
24-01-2019;10 - 11;0;0
24-01-2019;11 - 12;0;0
24-01-2019;12 - 13;0;0
24-01-2019;13 - 14;0;0
24-01-2019;14 - 15;0;0
24-01-2019;15 - 16;0;0
24-01-2019;16 - 17;0;383,3
24-01-2019;17 - 18;0;277,4
24-01-2019;18 - 19;0;182,3
24-01-2019;19 - 20;0;414,6
24-01-2019;20 - 21;0;364,3
24-01-2019;21 - 22;0;282,3
24-01-2019;22 - 23;0;174,7
24-01-2019;23 - 00;0;224
25-01-2019;00 - 01;0;56,7
25-01-2019;01 - 02;0;0
25-01-2019;02 - 03;0;0
25-01-2019;03 - 04;0;0
25-01-2019;04 - 05;0;0
25-01-2019;05 - 06;0;0
25-01-2019;06 - 07;0;181,6
25-01-2019;07 - 08;0;356,4
25-01-2019;08 - 09;0;294,7
25-01-2019;09 - 10;0;230,9
25-01-2019;10 - 11;0;24,8
25-01-2019;11 - 12;0;0
25-01-2019;12 - 13;0;200,2
25-01-2019;13 - 14;0;274,4
25-01-2019;14 - 15;0;340,1
25-01-2019;15 - 16;0;304,8
25-01-2019;16 - 17;0;369,1
25-01-2019;17 - 18;0;369,5
25-01-2019;18 - 19;0;492,7
25-01-2019;19 - 20;0;495,9
25-01-2019;20 - 21;0;0
25-01-2019;21 - 22;71,8;0
25-01-2019;22 - 23;171,6;0
25-01-2019;23 - 00;0;0
26-01-2019;00 - 01;0;0
26-01-2019;01 - 02;0;0
26-01-2019;02 - 03;0;0
26-01-2019;03 - 04;0;0
26-01-2019;04 - 05;0;0
26-01-2019;05 - 06;0;0
26-01-2019;06 - 07;0;0
26-01-2019;07 - 08;0;0
