date;Hours;Up;Down
08-01-2017;11 - 12;0;0
08-01-2017;12 - 13;0;0
08-01-2017;13 - 14;0;0
08-01-2017;14 - 15;0;0
08-01-2017;15 - 16;0;0
08-01-2017;16 - 17;0;0
08-01-2017;17 - 18;0;0
08-01-2017;18 - 19;0;0
08-01-2017;19 - 20;0;0
08-01-2017;20 - 21;0;0
08-01-2017;21 - 22;0;0
08-01-2017;22 - 23;0;0
08-01-2017;23 - 00;0;0
09-01-2017;00 - 01;0;0
09-01-2017;01 - 02;0;0
09-01-2017;02 - 03;0;0
09-01-2017;03 - 04;0;0
09-01-2017;04 - 05;0;0
09-01-2017;05 - 06;0;0
09-01-2017;06 - 07;0;0
09-01-2017;07 - 08;0;0
09-01-2017;08 - 09;0;0
09-01-2017;09 - 10;0;184,5
09-01-2017;10 - 11;0;283,5
09-01-2017;11 - 12;0;300,7
09-01-2017;12 - 13;0;285,4
09-01-2017;13 - 14;0;180,3
09-01-2017;14 - 15;0;251,7
09-01-2017;15 - 16;0;318,9
09-01-2017;16 - 17;0;435,7
09-01-2017;17 - 18;0;561,7
09-01-2017;18 - 19;0;588,8
09-01-2017;19 - 20;0;632,3
09-01-2017;20 - 21;0;512,4
09-01-2017;21 - 22;0;509
09-01-2017;22 - 23;0;496,7
09-01-2017;23 - 00;0;551,7
10-01-2017;00 - 01;0;342,9
10-01-2017;01 - 02;0;391,3
10-01-2017;02 - 03;0;398
10-01-2017;03 - 04;0;399,3
10-01-2017;04 - 05;0;659,1
10-01-2017;05 - 06;0;469,8
10-01-2017;06 - 07;0;393,3
10-01-2017;07 - 08;0;378,6
10-01-2017;08 - 09;0;375,5
10-01-2017;09 - 10;0;370,4
10-01-2017;10 - 11;0;0
10-01-2017;11 - 12;0;0
10-01-2017;12 - 13;0;0
10-01-2017;13 - 14;0;0
10-01-2017;14 - 15;0;0
10-01-2017;15 - 16;0;0
10-01-2017;16 - 17;0;0
10-01-2017;17 - 18;0;0
10-01-2017;18 - 19;0;0
10-01-2017;19 - 20;0;0
10-01-2017;20 - 21;0;0
10-01-2017;21 - 22;0;0
10-01-2017;22 - 23;0;0
10-01-2017;23 - 00;0;344,7
11-01-2017;00 - 01;0;286,4
11-01-2017;01 - 02;0;284
11-01-2017;02 - 03;0;337,3
11-01-2017;03 - 04;0;388,3
11-01-2017;04 - 05;0;526,4
11-01-2017;05 - 06;0;545,2
11-01-2017;06 - 07;0;562,9
11-01-2017;07 - 08;0;445,4
11-01-2017;08 - 09;0;362,8
11-01-2017;09 - 10;0;436
11-01-2017;10 - 11;0;131,4
11-01-2017;11 - 12;0;63
11-01-2017;12 - 13;0;233,2
11-01-2017;13 - 14;0;132
11-01-2017;14 - 15;0;94,3
11-01-2017;15 - 16;0;98
11-01-2017;16 - 17;0;173,3
11-01-2017;17 - 18;0;234,7
11-01-2017;18 - 19;0;291,8
11-01-2017;19 - 20;0;369,2
11-01-2017;20 - 21;0;468,8
11-01-2017;21 - 22;0;736
11-01-2017;22 - 23;0;725,3
11-01-2017;23 - 00;0;629,4
12-01-2017;00 - 01;0;467,4
12-01-2017;01 - 02;0;580,2
12-01-2017;02 - 03;0;641,3
12-01-2017;03 - 04;0;677,4
12-01-2017;04 - 05;0;540,9
12-01-2017;05 - 06;0;498,6
12-01-2017;06 - 07;0;0
12-01-2017;07 - 08;0;0
12-01-2017;08 - 09;0;40
12-01-2017;09 - 10;0;172,1
12-01-2017;10 - 11;0;233,2
12-01-2017;11 - 12;0;212,4
12-01-2017;12 - 13;0;215,3
12-01-2017;13 - 14;0;262,8
12-01-2017;14 - 15;0;283,6
12-01-2017;15 - 16;0;274,4
12-01-2017;16 - 17;0;175,1
12-01-2017;17 - 18;0;0
12-01-2017;18 - 19;0;0
12-01-2017;19 - 20;0;0
12-01-2017;20 - 21;0;0
12-01-2017;21 - 22;0;0
12-01-2017;22 - 23;0;0
12-01-2017;23 - 00;0;0
13-01-2017;00 - 01;0;0
13-01-2017;01 - 02;0;0
13-01-2017;02 - 03;0;0
13-01-2017;03 - 04;0;0
13-01-2017;04 - 05;0;0
13-01-2017;05 - 06;0;0
13-01-2017;06 - 07;0;0
13-01-2017;07 - 08;0;0
13-01-2017;08 - 09;0;0
13-01-2017;09 - 10;0;0
13-01-2017;10 - 11;0;0
13-01-2017;11 - 12;0;0
13-01-2017;12 - 13;0;0
13-01-2017;13 - 14;0;0
13-01-2017;14 - 15;0;0
13-01-2017;15 - 16;0;168,1
13-01-2017;16 - 17;0;174,2
13-01-2017;17 - 18;0;350,5
13-01-2017;18 - 19;0;365,6
13-01-2017;19 - 20;0;556,5
13-01-2017;20 - 21;0;472,2
13-01-2017;21 - 22;0;175,5
13-01-2017;22 - 23;0;128,3
13-01-2017;23 - 00;0;0
14-01-2017;00 - 01;0;0
14-01-2017;01 - 02;0;0
14-01-2017;02 - 03;0;0
14-01-2017;03 - 04;0;0
14-01-2017;04 - 05;0;0
14-01-2017;05 - 06;0;0
14-01-2017;06 - 07;0;0
14-01-2017;07 - 08;0;0
14-01-2017;08 - 09;0;417
14-01-2017;09 - 10;0;115,4
14-01-2017;10 - 11;0;0
14-01-2017;11 - 12;0;0
14-01-2017;12 - 13;0;114,8
14-01-2017;13 - 14;0;152,9
14-01-2017;14 - 15;0;219,5
14-01-2017;15 - 16;0;270,3
14-01-2017;16 - 17;0;309,6
14-01-2017;17 - 18;0;295,8
14-01-2017;18 - 19;0;376
14-01-2017;19 - 20;0;372,3
14-01-2017;20 - 21;0;391,7
14-01-2017;21 - 22;0;245,7
14-01-2017;22 - 23;0;0
14-01-2017;23 - 00;0;0
15-01-2017;00 - 01;0;0
15-01-2017;01 - 02;0;0
15-01-2017;02 - 03;0;0
15-01-2017;03 - 04;0;0,8
15-01-2017;04 - 05;0;0
15-01-2017;05 - 06;0;0
15-01-2017;06 - 07;0;0
15-01-2017;07 - 08;0;0
15-01-2017;08 - 09;0;0
15-01-2017;09 - 10;0;0
15-01-2017;10 - 11;0;0
15-01-2017;11 - 12;0;0
15-01-2017;12 - 13;0;0
15-01-2017;13 - 14;0;0
15-01-2017;14 - 15;0;0
15-01-2017;15 - 16;0;0
15-01-2017;16 - 17;0;0
15-01-2017;17 - 18;0;0
15-01-2017;18 - 19;0;0
15-01-2017;19 - 20;0;0
15-01-2017;20 - 21;0;0
15-01-2017;21 - 22;0;0
15-01-2017;22 - 23;0;0
15-01-2017;23 - 00;0;0
16-01-2017;00 - 01;0;0
16-01-2017;01 - 02;0;0
16-01-2017;02 - 03;0;0
16-01-2017;03 - 04;0;0
16-01-2017;04 - 05;0;0
16-01-2017;05 - 06;0;0
16-01-2017;06 - 07;0;0
16-01-2017;07 - 08;0;0
16-01-2017;08 - 09;0;2,5
16-01-2017;09 - 10;0;0
16-01-2017;10 - 11;0;0
16-01-2017;11 - 12;0;0
16-01-2017;12 - 13;0;0
16-01-2017;13 - 14;0;0
16-01-2017;14 - 15;0;0
16-01-2017;15 - 16;0;0
16-01-2017;16 - 17;0;0
16-01-2017;17 - 18;0;0
16-01-2017;18 - 19;0;0
16-01-2017;19 - 20;0;0
16-01-2017;20 - 21;0;0
16-01-2017;21 - 22;0;0
16-01-2017;22 - 23;0;0
16-01-2017;23 - 00;0;0
17-01-2017;00 - 01;0;0
17-01-2017;01 - 02;0;0
17-01-2017;02 - 03;0;0
17-01-2017;03 - 04;0;0
17-01-2017;04 - 05;0;0
17-01-2017;05 - 06;0;0
17-01-2017;06 - 07;0;0
17-01-2017;07 - 08;0;0
17-01-2017;08 - 09;0;0
17-01-2017;09 - 10;0;0
17-01-2017;10 - 11;0;0
17-01-2017;11 - 12;0;0
17-01-2017;12 - 13;0;0
17-01-2017;13 - 14;0;0
17-01-2017;14 - 15;0;0
17-01-2017;15 - 16;0;0
17-01-2017;16 - 17;0;0
17-01-2017;17 - 18;0;0
17-01-2017;18 - 19;0;0
17-01-2017;19 - 20;0;0
17-01-2017;20 - 21;0;0
17-01-2017;21 - 22;0;0
17-01-2017;22 - 23;0;0
17-01-2017;23 - 00;0;0
18-01-2017;00 - 01;0;0
18-01-2017;01 - 02;0;0
18-01-2017;02 - 03;0;0
18-01-2017;03 - 04;0;0
18-01-2017;04 - 05;0;0
18-01-2017;05 - 06;0;0
18-01-2017;06 - 07;0;0
18-01-2017;07 - 08;0;0
18-01-2017;08 - 09;0;0
18-01-2017;09 - 10;0;0
18-01-2017;10 - 11;0;0
18-01-2017;11 - 12;0;0
18-01-2017;12 - 13;0;0
18-01-2017;13 - 14;0;0
18-01-2017;14 - 15;0;0
18-01-2017;15 - 16;0;0
18-01-2017;16 - 17;0;0
18-01-2017;17 - 18;0;0
18-01-2017;18 - 19;0;0
18-01-2017;19 - 20;0;0
18-01-2017;20 - 21;0;0
18-01-2017;21 - 22;0;0
18-01-2017;22 - 23;0;0
18-01-2017;23 - 00;0;0
19-01-2017;00 - 01;0;0
19-01-2017;01 - 02;0;0
19-01-2017;02 - 03;0;0
19-01-2017;03 - 04;0;0
19-01-2017;04 - 05;0;0
19-01-2017;05 - 06;0;0
19-01-2017;06 - 07;0;0
19-01-2017;07 - 08;0;0
19-01-2017;08 - 09;0;0
19-01-2017;09 - 10;0;0
19-01-2017;10 - 11;0;0
19-01-2017;11 - 12;0;0
19-01-2017;12 - 13;0;0
19-01-2017;13 - 14;0;0
19-01-2017;14 - 15;0;0
19-01-2017;15 - 16;0;0
19-01-2017;16 - 17;0;0
