;Hours;Price up;Price down;Dominating direction;Imbalance price consumption;Imbalance price production purchase;Imbalance price production sale;Volume up;Volume down
01-01-2017;00 - 01;155,79;114,39;D;114,39;155,79;114,39;0;0
01-01-2017;01 - 02;186,17;155,34;U;186,17;186,17;155,34;0;0
01-01-2017;02 - 03;186,17;134,75;U;186,17;186,17;134,75;0;0
01-01-2017;03 - 04;119,15;119,15;;119,15;119,15;119,15;0;0
01-01-2017;04 - 05;122,12;122,12;;122,12;122,12;122,12;0;0
01-01-2017;05 - 06;102,2;102,2;;102,2;102,2;102,2;0;0
01-01-2017;06 - 07;82,5;82,5;;82,5;82,5;82,5;0;0
01-01-2017;07 - 08;114,98;114,98;;114,98;114,98;114,98;0;0
01-01-2017;08 - 09;125,46;125,46;;125,46;125,46;125,46;0;0
01-01-2017;09 - 10;162,11;136,76;D;136,76;162,11;136,76;0;0
01-01-2017;10 - 11;195,03;134,81;D;134,81;195,03;134,81;0;-12
01-01-2017;11 - 12;204,25;182,1;D;182,1;204,25;182,1;0;-21
01-01-2017;12 - 13;208,41;193,25;D;193,25;208,41;193,25;0;0
01-01-2017;13 - 14;213,32;213,32;;213,32;213,32;213,32;0;0
01-01-2017;14 - 15;220,45;179,75;D;179,75;220,45;179,75;0;-17
01-01-2017;15 - 16;225,81;179,75;D;179,75;225,81;179,75;0;-21
01-01-2017;16 - 17;228,93;228,93;;228,93;228,93;228,93;0;0
01-01-2017;17 - 18;229,89;229,89;;229,89;229,89;229,89;0;0
01-01-2017;18 - 19;228,78;228,78;;228,78;228,78;228,78;0;0
01-01-2017;19 - 20;226,77;226,77;;226,77;226,77;226,77;0;0
01-01-2017;20 - 21;224,39;224,39;;224,39;224,39;224,39;0;0
01-01-2017;21 - 22;222,54;222,54;;222,54;222,54;222,54;0;0
01-01-2017;22 - 23;220,38;220,38;;220,38;220,38;220,38;0;0
01-01-2017;23 - 00;218,22;218,22;;218,22;218,22;218,22;0;0
02-01-2017;00 - 01;218,53;218,53;;218,53;218,53;218,53;0;0
02-01-2017;01 - 02;214,89;183,81;D;183,81;214,89;183,81;0;0
02-01-2017;02 - 03;208,94;183,81;D;183,81;208,94;183,81;0;0
02-01-2017;03 - 04;207,3;207,3;;207,3;207,3;207,3;0;0
02-01-2017;04 - 05;206,11;206,11;;206,11;206,11;206,11;0;0
02-01-2017;05 - 06;226,18;226,18;;226,18;226,18;226,18;0;0
02-01-2017;06 - 07;244,17;244,17;;244,17;244,17;244,17;0;0
02-01-2017;07 - 08;252,05;252,05;;252,05;252,05;252,05;0;0
02-01-2017;08 - 09;259,19;212,4;D;212,4;259,19;212,4;0;0
02-01-2017;09 - 10;261,79;212,4;D;212,4;261,79;212,4;0;0
02-01-2017;10 - 11;263,2;220,57;D;220,57;263,2;220,57;0;0
02-01-2017;11 - 12;260,67;260,67;;260,67;260,67;260,67;0;0
02-01-2017;12 - 13;259,04;259,04;;259,04;259,04;259,04;0;0
02-01-2017;13 - 14;257,92;257,92;;257,92;257,92;257,92;0;0
02-01-2017;14 - 15;258,66;258,66;;258,66;258,66;258,66;0;0
02-01-2017;15 - 16;267,06;267,06;;267,06;267,06;267,06;0;0
02-01-2017;16 - 17;279,88;278,88;U;279,88;279,88;278,88;9;0
02-01-2017;17 - 18;287,02;286,02;U;287,02;287,02;286,02;92;0
02-01-2017;18 - 19;279,04;274,13;U;279,04;279,04;274,13;0;0
02-01-2017;19 - 20;264,02;264,02;;264,02;264,02;264,02;0;0
02-01-2017;20 - 21;261,86;261,86;;261,86;261,86;261,86;0;0
02-01-2017;21 - 22;258,22;220,57;D;220,57;258,22;220,57;0;0
02-01-2017;22 - 23;245,21;220,57;D;220,57;245,21;220,57;0;0
02-01-2017;23 - 00;229,6;229,6;;229,6;229,6;229,6;0;0
03-01-2017;00 - 01;241,49;227,85;U;241,49;241,49;227,85;0;0
03-01-2017;01 - 02;240,12;225,77;U;240,12;240,12;225,77;0;0
03-01-2017;02 - 03;240,12;224,14;U;240,12;240,12;224,14;0;0
03-01-2017;03 - 04;224,06;224,06;;224,06;224,06;224,06;0;0
03-01-2017;04 - 05;225,99;225,99;;225,99;225,99;225,99;0;0
03-01-2017;05 - 06;228,6;228,6;;228,6;228,6;228,6;0;0
03-01-2017;06 - 07;230,6;208,15;D;208,15;230,6;208,15;0;0
03-01-2017;07 - 08;234,77;217,63;D;217,63;234,77;217,63;0;0
03-01-2017;08 - 09;254,59;236,18;U;254,59;254,59;236,18;0;0
03-01-2017;09 - 10;245,02;245,02;;245,02;245,02;245,02;0;0
03-01-2017;10 - 11;232,31;232,31;;232,31;232,31;232,31;0;0
03-01-2017;11 - 12;229,12;229,12;;229,12;229,12;229,12;0;0
03-01-2017;12 - 13;226,74;216,33;D;216,33;226,74;216,33;0;0
03-01-2017;13 - 14;224,58;216,33;D;216,33;224,58;216,33;0;0
03-01-2017;14 - 15;223,17;216,33;D;216,33;223,17;216,33;0;0
03-01-2017;15 - 16;220,86;216,33;D;216,33;220,86;216,33;0;0
03-01-2017;16 - 17;221,46;214,1;D;214,1;221,46;214,1;0;0
03-01-2017;17 - 18;222,28;213,53;D;213,53;222,28;213,53;0;0
03-01-2017;18 - 19;221,38;202,95;D;202,95;221,38;202,95;0;0
03-01-2017;19 - 20;219,75;192,99;D;192,99;219,75;192,99;0;0
03-01-2017;20 - 21;218,56;192,99;D;192,99;218,56;192,99;0;0
03-01-2017;21 - 22;182,58;182,58;;182,58;182,58;182,58;0;0
03-01-2017;22 - 23;132,1;132,1;;132,1;132,1;132,1;0;0
03-01-2017;23 - 00;0,89;0,89;;0,89;0,89;0,89;0;0
04-01-2017;00 - 01;0,82;0,82;;0,82;0,82;0,82;0;0
04-01-2017;01 - 02;-0,37;-0,37;;-0,37;-0,37;-0,37;0;0
04-01-2017;02 - 03;-46,61;-46,61;;-46,61;-46,61;-46,61;0;0
04-01-2017;03 - 04;-37,84;-37,84;;-37,84;-37,84;-37,84;0;0
04-01-2017;04 - 05;0,45;0,45;;0,45;0,45;0,45;0;0
04-01-2017;05 - 06;78,43;78,43;;78,43;78,43;78,43;0;0
04-01-2017;06 - 07;81,63;81,63;;81,63;81,63;81,63;0;0
04-01-2017;07 - 08;227,85;227,85;;227,85;227,85;227,85;0;0
04-01-2017;08 - 09;226,29;210,38;D;210,38;226,29;210,38;0;0
04-01-2017;09 - 10;226,29;210,38;D;210,38;226,29;210,38;0;0
04-01-2017;10 - 11;227,26;210,38;D;210,38;227,26;210,38;0;0
04-01-2017;11 - 12;227,63;210,38;D;210,38;227,63;210,38;0;0
04-01-2017;12 - 13;228,6;228,6;;228,6;228,6;228,6;0;0
04-01-2017;13 - 14;228,08;198,03;D;198,03;228,08;198,03;0;0
04-01-2017;14 - 15;228,45;198,03;D;198,03;228,45;198,03;0;0
04-01-2017;15 - 16;229,26;198,03;D;198,03;229,26;198,03;0;0
04-01-2017;16 - 17;232,09;198,03;D;198,03;232,09;198,03;0;0
04-01-2017;17 - 18;233,95;198,03;D;198,03;233,95;198,03;0;0
04-01-2017;18 - 19;232,61;198,03;D;198,03;232,61;198,03;0;0
04-01-2017;19 - 20;231,57;202,16;D;202,16;231,57;202,16;0;0
04-01-2017;20 - 21;230,68;202,16;D;202,16;230,68;202,16;0;0
04-01-2017;21 - 22;230,16;230,16;;230,16;230,16;230,16;0;0
04-01-2017;22 - 23;229,49;229,49;;229,49;229,49;229,49;0;0
04-01-2017;23 - 00;257,96;226,29;U;257,96;257,96;226,29;0;0
05-01-2017;00 - 01;226,81;226,81;;226,81;226,81;226,81;0;0
05-01-2017;01 - 02;224,72;224,72;;224,72;224,72;224,72;0;0
05-01-2017;02 - 03;223,01;223,01;;223,01;223,01;223,01;0;0
05-01-2017;03 - 04;223,46;223,46;;223,46;223,46;223,46;0;0
05-01-2017;04 - 05;253,49;227,55;U;253,49;253,49;227,55;97;0
05-01-2017;05 - 06;253,49;215,28;U;253,49;253,49;215,28;202;0
05-01-2017;06 - 07;251,41;251,41;;251,41;251,41;251,41;0;0
05-01-2017;07 - 08;276,61;276,61;;276,61;276,61;276,61;0;0
05-01-2017;08 - 09;289,77;202,23;D;202,23;289,77;202,23;0;-34
05-01-2017;09 - 10;289,99;202,23;D;202,23;289,99;202,23;0;-75
05-01-2017;10 - 11;319,95;202,23;D;202,23;319,95;202,23;0;-94
05-01-2017;11 - 12;331,1;202,23;D;202,23;331,1;202,23;0;-23
05-01-2017;12 - 13;331,25;331,25;;331,25;331,25;331,25;0;0
05-01-2017;13 - 14;331,99;223,01;D;223,01;331,99;223,01;0;0
05-01-2017;14 - 15;334,45;223,01;D;223,01;334,45;223,01;0;0
05-01-2017;15 - 16;417,04;241,83;D;241,83;417,04;241,83;0;0
05-01-2017;16 - 17;518,14;241,83;D;241,83;518,14;241,83;0;-22
05-01-2017;17 - 18;549,51;245,32;D;245,32;549,51;245,32;0;-22
05-01-2017;18 - 19;535,16;535,16;;535,16;535,16;535,16;0;0
05-01-2017;19 - 20;372,28;372,28;;372,28;372,28;372,28;0;0
05-01-2017;20 - 21;333,7;333,7;;333,7;333,7;333,7;0;0
05-01-2017;21 - 22;312,59;312,59;;312,59;312,59;312,59;0;0
05-01-2017;22 - 23;276,69;276,69;;276,69;276,69;276,69;0;0
05-01-2017;23 - 00;255,88;234,03;D;234,03;249,26;234,03;0;0
06-01-2017;00 - 01;266,42;266,42;;266,42;266,42;266,42;0;0
06-01-2017;01 - 02;264,19;264,19;;264,19;264,19;264,19;0;0
06-01-2017;02 - 03;259,76;257,13;U;259,76;259,76;257,13;0;0
06-01-2017;03 - 04;255,63;254,82;U;255,63;255,63;254,82;0;0
06-01-2017;04 - 05;253,93;253,93;;253,93;253,93;253,93;0;0
06-01-2017;05 - 06;242,26;242,26;;242,26;242,26;242,26;0;0
06-01-2017;06 - 07;255,12;215,57;D;215,57;255,12;215,57;0;0
06-01-2017;07 - 08;252,52;215,57;D;215,57;252,52;215,57;0;0
06-01-2017;08 - 09;256,46;252,74;U;256,46;256,46;252,74;0;0
06-01-2017;09 - 10;257,2;241,59;U;257,2;257,2;241,59;0;0
06-01-2017;10 - 11;255,63;237,73;U;255,63;255,63;237,73;0;0
06-01-2017;11 - 12;291,85;233,79;U;291,85;291,85;233,79;105;0
06-01-2017;12 - 13;263,98;232,45;U;263,98;263,98;232,45;46;0
06-01-2017;13 - 14;229,4;229,4;;229,4;229,4;229,4;0;0
06-01-2017;14 - 15;228,95;228,95;;228,95;228,95;228,95;0;0
06-01-2017;15 - 16;255,63;227,25;U;255,63;255,63;227,25;6;0
06-01-2017;16 - 17;266,87;227,39;U;266,87;266,87;227,39;48;0
06-01-2017;17 - 18;266,87;229,7;U;266,87;266,87;229,7;96;0
06-01-2017;18 - 19;266,87;228,29;U;266,87;266,87;228,29;92;0
06-01-2017;19 - 20;255,63;225,76;U;255,63;255,63;225,76;0;0
06-01-2017;20 - 21;255,63;225,09;U;255,63;255,63;225,09;0;0
06-01-2017;21 - 22;223,6;223,6;;223,6;223,6;223,6;0;0
06-01-2017;22 - 23;221,6;221,6;;221,6;221,6;221,6;0;0
06-01-2017;23 - 00;215,65;215,65;;215,65;215,65;215,65;0;0
07-01-2017;00 - 01;218,18;218,18;;218,18;218,18;218,18;0;0
07-01-2017;01 - 02;203,09;203,09;;203,09;203,09;203,09;0;0
07-01-2017;02 - 03;231,44;200,56;U;231,44;231,44;200,56;0;0
07-01-2017;03 - 04;231,44;200,19;U;231,44;231,44;200,19;0;0
07-01-2017;04 - 05;230,45;203,98;U;230,45;230,45;203,98;0;0
07-01-2017;05 - 06;223,17;212,9;U;223,17;223,17;212,9;0;0
07-01-2017;06 - 07;216,32;216,32;;216,32;216,32;216,32;0;0
07-01-2017;07 - 08;219,22;194,63;D;194,63;219,22;194,63;0;0
07-01-2017;08 - 09;222,79;198,37;D;198,37;222,79;198,37;0;0
07-01-2017;09 - 10;226,81;210,21;D;210,21;226,81;210,21;0;0
07-01-2017;10 - 11;228,14;228,14;;228,14;228,14;228,14;0;0
07-01-2017;11 - 12;228,52;228,52;;228,52;228,52;228,52;0;0
07-01-2017;12 - 13;228,37;228,37;;228,37;228,37;228,37;0;0
07-01-2017;13 - 14;228,22;228,22;;228,22;228,22;228,22;0;0
07-01-2017;14 - 15;228,74;217,81;D;217,81;228,74;217,81;0;0
07-01-2017;15 - 16;229,85;198,37;D;198,37;229,85;198,37;0;-30
07-01-2017;16 - 17;231,56;217,07;D;217,07;231,56;217,07;0;-30
07-01-2017;17 - 18;233,64;217,07;D;217,07;233,64;217,07;0;-49
07-01-2017;18 - 19;233,72;217,81;D;217,81;233,72;217,81;0;-50
07-01-2017;19 - 20;231,79;217,81;D;217,81;231,79;217,81;0;-49
07-01-2017;20 - 21;230,82;217,81;D;217,81;230,82;217,81;0;-30
07-01-2017;21 - 22;230,15;219,3;D;219,3;230,15;219,3;0;-30
07-01-2017;22 - 23;229,18;223,01;D;223,01;229,18;223,01;0;-30
07-01-2017;23 - 00;227,47;227,47;;227,47;227,47;227,47;0;0
08-01-2017;00 - 01;228,57;228,57;;228,57;228,57;228,57;0;0
08-01-2017;01 - 02;227,75;227,75;;227,75;227,75;227,75;0;0
08-01-2017;02 - 03;226,94;226,94;;226,94;226,94;226,94;0;0
08-01-2017;03 - 04;227,01;227,01;;227,01;227,01;227,01;0;0
08-01-2017;04 - 05;227,68;227,68;;227,68;227,68;227,68;0;0
08-01-2017;05 - 06;228,2;196,24;D;196,24;228,2;196,24;0;0
08-01-2017;06 - 07;228,72;190,25;D;190,25;228,72;190,25;0;0
08-01-2017;07 - 08;227,31;190,25;D;190,25;227,31;190,25;0;0
08-01-2017;08 - 09;228,57;190,25;D;190,25;228,57;190,25;0;0
08-01-2017;09 - 10;231,1;190,25;D;190,25;231,1;190,25;0;0
08-01-2017;10 - 11;260,53;198,52;D;198,52;260,53;198,52;0;0
08-01-2017;11 - 12;207,16;207,16;;207,16;207,16;207,16;0;0
08-01-2017;12 - 13;230,13;198,52;D;198,52;230,13;198,52;0;0
08-01-2017;13 - 14;229,46;198,52;D;198,52;229,46;198,52;0;0
08-01-2017;14 - 15;229,31;198,52;D;198,52;229,31;198,52;0;0
08-01-2017;15 - 16;230,13;202,65;D;202,65;230,13;202,65;0;-29
08-01-2017;16 - 17;234,89;202,65;D;202,65;234,89;202,65;0;-16
08-01-2017;17 - 18;236,67;236,67;;236,67;236,67;236,67;0;0
08-01-2017;18 - 19;233,85;202,65;D;202,65;233,85;202,65;0;-9
08-01-2017;19 - 20;230,43;202,65;D;202,65;230,43;202,65;0;-30
08-01-2017;20 - 21;229,17;198,52;D;198,52;229,17;198,52;0;-36
08-01-2017;21 - 22;230,06;198,52;D;198,52;230,06;198,52;0;-50
08-01-2017;22 - 23;227,08;190,25;D;190,25;227,08;190,25;0;-49
08-01-2017;23 - 00;222,18;173,7;D;173,7;222,18;173,7;0;-37
09-01-2017;00 - 01;230,43;173,7;D;173,7;219,73;173,7;0;0
09-01-2017;01 - 02;230,43;216,38;U;230,43;230,43;216,38;11;0
09-01-2017;02 - 03;230,43;215,49;U;230,43;230,43;215,49;11;0
09-01-2017;03 - 04;230,43;216,75;U;230,43;230,43;216,75;11;0
09-01-2017;04 - 05;230,43;220,84;U;230,43;230,43;220,84;0;0
09-01-2017;05 - 06;226,04;194,38;D;194,38;226,04;194,38;0;0
09-01-2017;06 - 07;228,72;200,7;D;200,7;228,72;200,7;0;0
09-01-2017;07 - 08;235,34;210,92;D;210,92;235,34;210,92;0;0
09-01-2017;08 - 09;238,09;194,38;D;194,38;238,09;194,38;0;0
09-01-2017;09 - 10;236,6;186,11;D;186,11;236,6;186,11;0;0
09-01-2017;10 - 11;234,74;186,11;D;186,11;234,74;186,11;0;0
09-01-2017;11 - 12;233,03;190,29;D;190,29;233,03;190,29;0;0
09-01-2017;12 - 13;231,17;190,29;D;190,29;231,17;190,29;0;0
09-01-2017;13 - 14;230,35;194,38;D;194,38;230,35;194,38;0;0
09-01-2017;14 - 15;230,06;198,52;D;198,52;230,06;198,52;0;0
09-01-2017;15 - 16;230,35;198,52;D;198,52;230,35;198,52;0;0
09-01-2017;16 - 17;230,58;198,52;D;198,52;230,58;198,52;0;0
09-01-2017;17 - 18;230,21;198,52;D;198,52;230,21;198,52;0;0
09-01-2017;18 - 19;229,69;198,52;D;198,52;229,69;198,52;0;0
09-01-2017;19 - 20;228,87;198,52;D;198,52;228,87;198,52;0;0
09-01-2017;20 - 21;226,71;193,26;D;193,26;226,71;193,26;0;0
09-01-2017;21 - 22;223,52;193,26;D;193,26;223,52;193,26;0;0
09-01-2017;22 - 23;219,8;194,38;D;194,38;219,8;194,38;0;0
09-01-2017;23 - 00;214,3;186,71;D;186,71;214,3;186,71;0;0
10-01-2017;00 - 01;194,46;173,14;D;173,14;194,46;173,14;0;0
10-01-2017;01 - 02;190,07;170,97;D;170,97;190,07;170,97;0;0
10-01-2017;02 - 03;189,48;173,14;D;173,14;189,48;173,14;0;0
10-01-2017;03 - 04;190,07;173,14;D;173,14;190,07;173,14;0;0
10-01-2017;04 - 05;206,43;173,14;D;173,14;206,43;173,14;0;0
10-01-2017;05 - 06;215,05;215,05;;215,05;215,05;215,05;0;0
10-01-2017;06 - 07;221,44;197,73;D;197,73;221,44;197,73;0;0
10-01-2017;07 - 08;230,44;202,01;D;202,01;230,44;202,01;0;0
10-01-2017;08 - 09;232,74;208,14;D;208,14;232,74;208,14;0;0
10-01-2017;09 - 10;232,07;202,01;D;202,01;232,07;202,01;0;0
10-01-2017;10 - 11;231,48;202,01;D;202,01;231,48;202,01;0;0
10-01-2017;11 - 12;230,88;202,01;D;202,01;230,88;202,01;0;0
10-01-2017;12 - 13;230,36;230,36;;230,36;230,36;230,36;0;0
10-01-2017;13 - 14;239,11;230,44;U;239,11;239,11;230,44;0;0
10-01-2017;14 - 15;245,31;230,51;U;245,31;245,31;230,51;0;0
10-01-2017;15 - 16;245,31;230,66;U;245,31;245,31;230,66;0;0
10-01-2017;16 - 17;245,31;231,85;U;245,31;245,31;231,85;0;0
10-01-2017;17 - 18;231,85;231,85;;231,85;231,85;231,85;0;0
10-01-2017;18 - 19;230,59;230,59;;230,59;230,59;230,59;0;0
10-01-2017;19 - 20;227,02;227,02;;227,02;227,02;227,02;0;0
10-01-2017;20 - 21;221,59;221,59;;221,59;221,59;221,59;0;0
10-01-2017;21 - 22;219,66;219,66;;219,66;219,66;219,66;0;0
10-01-2017;22 - 23;216,69;193,27;D;193,27;216,69;193,27;0;0
10-01-2017;23 - 00;208,73;173,14;D;173,14;208,73;173,14;0;0
11-01-2017;00 - 01;181,23;176,04;D;176,04;181,23;176,04;0;0
11-01-2017;01 - 02;169,34;162,05;D;162,05;169,34;162,05;0;0
11-01-2017;02 - 03;163,91;141,24;D;141,24;163,91;141,24;0;0
11-01-2017;03 - 04;164,28;141,24;D;141,24;164,28;141,24;0;0
11-01-2017;04 - 05;175,43;175,43;;175,43;175,43;175,43;0;0
11-01-2017;05 - 06;181,01;163,54;D;163,54;181,01;163,54;0;0
11-01-2017;06 - 07;206,8;182,12;D;182,12;206,8;182,12;0;0
11-01-2017;07 - 08;215,27;215,27;;215,27;215,27;215,27;0;0
11-01-2017;08 - 09;216,61;185,84;D;185,84;216,61;185,84;0;0
11-01-2017;09 - 10;216,46;180,63;D;180,63;216,46;180,63;0;0
11-01-2017;10 - 11;229,46;193,27;U;229,46;229,46;216,69;0;0
11-01-2017;11 - 12;229,46;216,76;U;229,46;229,46;216,76;0;0
11-01-2017;12 - 13;216,84;216,84;;216,84;216,84;216,84;0;0
11-01-2017;13 - 14;225,17;216,54;U;225,17;225,17;216,54;0;0
11-01-2017;14 - 15;216,69;216,69;;216,69;216,69;216,69;0;0
11-01-2017;15 - 16;216,91;216,91;;216,91;216,91;216,91;0;0
11-01-2017;16 - 17;218,54;218,54;;218,54;218,54;218,54;0;0
11-01-2017;17 - 18;219,81;219,81;;219,81;219,81;219,81;0;0
11-01-2017;18 - 19;218,4;218,4;;218,4;218,4;218,4;0;0
11-01-2017;19 - 20;216,54;216,54;;216,54;216,54;216,54;0;0
11-01-2017;20 - 21;212,6;176,04;D;176,04;212,6;176,04;0;0
11-01-2017;21 - 22;207,47;176,04;D;176,04;207,47;176,04;0;0
11-01-2017;22 - 23;195,28;154,62;D;154,62;195,28;154,62;0;0
11-01-2017;23 - 00;74,26;74,26;;74,26;74,26;74,26;0;0
12-01-2017;00 - 01;0,67;0,67;;0,67;0,67;0,67;0;0
12-01-2017;01 - 02;0,22;0,22;;0,22;0,22;0,22;0;0
12-01-2017;02 - 03;0,37;0,37;;0,37;0,37;0,37;0;0
12-01-2017;03 - 04;0,3;0,3;;0,3;0,3;0,3;0;0
12-01-2017;04 - 05;0,59;0,59;;0,59;0,59;0,59;0;0
12-01-2017;05 - 06;200,7;20,29;U;200,7;200,7;20,29;0;0
12-01-2017;06 - 07;210,29;210,29;;210,29;210,29;210,29;0;0
12-01-2017;07 - 08;218,61;218,61;;218,61;218,61;218,61;0;0
12-01-2017;08 - 09;221,36;196,71;D;196,71;221,36;196,71;0;0
12-01-2017;09 - 10;219,28;196,71;D;196,71;219,28;196,71;0;0
12-01-2017;10 - 11;219,58;196,71;D;196,71;219,58;196,71;0;-11
12-01-2017;11 - 12;219,28;188,51;D;188,51;219,28;188,51;0;-11
12-01-2017;12 - 13;219,06;180,32;D;180,32;219,06;180,32;0;-12
12-01-2017;13 - 14;219,28;180,32;D;180,32;219,28;180,32;0;-11
12-01-2017;14 - 15;219,65;180,32;D;180,32;219,65;180,32;0;0
12-01-2017;15 - 16;220,32;184,41;D;184,41;220,32;184,41;0;0
12-01-2017;16 - 17;224,71;182,86;D;182,86;224,71;182,86;0;0
12-01-2017;17 - 18;226,86;226,86;;226,86;226,86;226,86;0;0
12-01-2017;18 - 19;225,08;225,08;;225,08;225,08;225,08;0;0
12-01-2017;19 - 20;249,98;222,11;U;249,98;249,98;222,11;0;0
12-01-2017;20 - 21;266,11;219,28;U;266,11;266,11;219,28;15;0
12-01-2017;21 - 22;264,13;218,76;U;264,13;264,13;218,76;0;0
12-01-2017;22 - 23;250,5;217,13;U;250,5;250,5;217,13;0;0
12-01-2017;23 - 00;245,89;214,3;U;245,89;245,89;214,3;0;0
13-01-2017;00 - 01;237,97;216,69;U;237,97;237,97;216,69;0;0
13-01-2017;01 - 02;215,65;215,65;;215,65;215,65;215,65;0;0
13-01-2017;02 - 03;216,24;216,24;;216,24;216,24;216,24;0;0
13-01-2017;03 - 04;216,24;185,84;D;185,84;216,24;185,84;0;0
13-01-2017;04 - 05;217,43;185,84;D;185,84;217,43;185,84;0;0
13-01-2017;05 - 06;227,77;196,94;D;196,94;227,77;196,94;0;0
13-01-2017;06 - 07;253,63;253,63;;253,63;253,63;253,63;0;0
13-01-2017;07 - 08;293,48;293,48;;293,48;293,48;293,48;0;0
13-01-2017;08 - 09;320,03;306,86;U;320,03;320,03;306,86;187;0
13-01-2017;09 - 10;306,12;306,12;;306,12;306,12;306,12;0;0
13-01-2017;10 - 11;306,12;306,12;;306,12;306,12;306,12;0;0
13-01-2017;11 - 12;284,78;284,78;;284,78;284,78;284,78;0;0
13-01-2017;12 - 13;276,01;276,01;;276,01;276,01;276,01;0;0
13-01-2017;13 - 14;276,68;200,71;D;200,71;276,68;200,71;0;0
13-01-2017;14 - 15;239,66;199,96;D;199,96;239,66;199,96;0;0
13-01-2017;15 - 16;237,65;201,04;D;201,04;237,65;201,04;0;0
13-01-2017;16 - 17;261,89;212,6;D;212,6;261,89;212,6;0;0
13-01-2017;17 - 18;306,56;306,56;;306,56;306,56;306,56;0;0
13-01-2017;18 - 19;283,07;283,07;;283,07;283,07;283,07;0;0
13-01-2017;19 - 20;237,13;237,13;;237,13;237,13;237,13;0;0
13-01-2017;20 - 21;233,27;204,42;D;204,42;233,27;204,42;0;0
13-01-2017;21 - 22;231,33;204,42;D;204,42;231,33;204,42;0;0
13-01-2017;22 - 23;228,81;228,81;;228,81;228,81;228,81;0;0
13-01-2017;23 - 00;222,41;196,94;D;196,94;222,41;196,94;0;0
14-01-2017;00 - 01;221,69;221,69;;221,69;221,69;221,69;0;0
14-01-2017;01 - 02;215,45;184,77;D;184,77;215,45;184,77;0;0
14-01-2017;02 - 03;212,92;184,77;D;184,77;212,92;184,77;0;0
14-01-2017;03 - 04;211,88;176,56;D;176,56;211,88;176,56;0;0
14-01-2017;04 - 05;212,7;164,24;D;164,24;212,7;164,24;0;0
14-01-2017;05 - 06;208,53;164,24;D;164,24;208,53;164,24;0;0
14-01-2017;06 - 07;219,24;180,67;D;180,67;219,24;180,67;0;0
14-01-2017;07 - 08;215,37;191,8;D;191,8;215,37;191,8;0;0
14-01-2017;08 - 09;233,14;197,09;D;197,09;233,14;197,09;0;0
14-01-2017;09 - 10;230,54;200,73;D;200,73;230,54;200,73;0;0
14-01-2017;10 - 11;231,88;201,47;D;201,47;231,88;201,47;0;0
14-01-2017;11 - 12;231,95;209,65;D;209,65;231,95;209,65;0;0
14-01-2017;12 - 13;231,5;197,09;D;197,09;231,5;197,09;0;0
14-01-2017;13 - 14;230,17;192,99;D;192,99;230,17;192,99;0;0
14-01-2017;14 - 15;230,24;192,99;D;192,99;230,24;192,99;0;0
14-01-2017;15 - 16;231,43;192,99;D;192,99;231,43;192,99;0;0
14-01-2017;16 - 17;232,17;197,09;D;197,09;232,17;197,09;0;0
14-01-2017;17 - 18;233,44;211,57;D;211,57;233,44;211,57;0;0
14-01-2017;18 - 19;232,99;215,59;D;215,59;232,99;215,59;0;0
14-01-2017;19 - 20;232,32;214,11;D;214,11;232,32;214,11;0;0
14-01-2017;20 - 21;231,28;188,88;D;188,88;231,28;188,88;0;0
14-01-2017;21 - 22;227,94;185,86;D;185,86;227,94;185,86;0;0
14-01-2017;22 - 23;224,89;185,86;D;185,86;224,89;185,86;0;0
14-01-2017;23 - 00;219,68;176,56;D;176,56;219,68;176,56;0;0
15-01-2017;00 - 01;215,7;185,82;D;185,82;215,7;185,82;0;0
15-01-2017;01 - 02;212,13;176,6;D;176,6;212,13;176,6;0;0
15-01-2017;02 - 03;203,14;170,21;D;170,21;203,14;170,21;0;0
15-01-2017;03 - 04;201,36;170,21;D;170,21;201,36;170,21;0;0
15-01-2017;04 - 05;203,14;170,21;D;170,21;203,14;170,21;0;-32
15-01-2017;05 - 06;213,32;188,92;D;188,92;213,32;188,92;0;0
15-01-2017;06 - 07;216,22;216,22;;216,22;216,22;216,22;0;0
15-01-2017;07 - 08;194,82;194,82;;194,82;194,82;194,82;0;0
15-01-2017;08 - 09;247,37;247,37;;247,37;247,37;247,37;0;0
15-01-2017;09 - 10;237,41;237,41;;237,41;237,41;237,41;0;0
15-01-2017;10 - 11;241,57;238,3;U;241,57;241,57;238,3;0;0
15-01-2017;11 - 12;241,57;238,97;U;241,57;241,57;238,97;0;0
15-01-2017;12 - 13;237,48;205,35;D;205,35;237,48;205,35;0;0
15-01-2017;13 - 14;235,62;203,66;D;203,66;235,62;203,66;0;0
15-01-2017;14 - 15;234,14;201,24;D;201,24;234,14;201,24;0;0
15-01-2017;15 - 16;235,62;201,24;D;201,24;235,62;201,24;0;0
15-01-2017;16 - 17;243,95;211,58;D;211,58;243,95;211,58;0;0
15-01-2017;17 - 18;275,17;275,17;;275,17;275,17;275,17;0;0
15-01-2017;18 - 19;258,96;258,96;;258,96;258,96;258,96;0;0
15-01-2017;19 - 20;243,43;243,43;;243,43;243,43;243,43;0;0
15-01-2017;20 - 21;239,19;239,19;;239,19;239,19;239,19;0;0
15-01-2017;21 - 22;238,2;237,41;U;238,2;238,2;237,41;0;0
15-01-2017;22 - 23;241,57;235,77;U;241,57;241,57;235,77;0;0
